title,company,location,salary,posted,url,specialization,source,tags
EDI Analyst I (B2B SaaS),Prompt,Remote USA,"$60,000 - $70,000",2026-03-12,https://www.adzuna.com/details/5662515183?utm_medium=api&utm_source=03049e54,Healthcare EDI,Adzuna,
"EDI Manager (Milwaukee, WI)",Milwaukee Tool,Remote USA,,2026-03-08,https://www.adzuna.com/details/5659085104?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
Accounts Payable Analyst - EDI,Factory Motor Parts Careers,Remote USA,,2026-03-01,https://www.adzuna.com/details/5650353678?utm_medium=api&utm_source=03049e54,Logistics & Retail,Adzuna,
Encounters Business Analyst IV SQL EDI,Centene Management Company,Remote USA,"$87,700 - $157,800",2026-02-13,https://www.adzuna.com/details/5628218488?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
Home Healthcare Revenue Cycle EDI Systems Analyst,CenterWell,Remote USA,"$60,800 - $82,900",2026-02-12,https://www.adzuna.com/details/5626806628?utm_medium=api&utm_source=03049e54,Healthcare EDI,Adzuna,
EDI Analyst III,SKYGEN,Remote USA,"$90,334 - $135,501",2026-02-06,https://www.adzuna.com/details/5618153106?utm_medium=api&utm_source=03049e54,Healthcare EDI,Adzuna,
Senior EDI Integration Analyst (Work from Home),Transamerica,Remote USA,"$85,000 - $99,000",2026-02-05,https://www.adzuna.com/details/5615769331?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
EDI Consultant,H R PUNDITS INC,"Renton, King County, USA",,2026-02-02,https://www.adzuna.com/details/5611047944?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
Systems Analyst - EDI (Remote),Vaya Health,Remote USA,"$79,354 - $103,160",2026-01-31,https://www.adzuna.com/details/5607894299?utm_medium=api&utm_source=03049e54,Healthcare EDI,Adzuna,
EDI Analyst,Sol de Janeiro,Remote USA,"$100,000 - $125,000",2026-01-11,https://www.adzuna.com/details/5579383572?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
EDI Support Analyst,MSC Mediterranean Shipping Company SA,Remote USA,,2025-11-22,https://www.adzuna.com/details/5509915341?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
EDI - Axway B2Bi Platform,Signature Consultants,Remote USA,,2026-03-16,https://www.adzuna.com/details/5669045497?utm_medium=api&utm_source=03049e54,Logistics & Retail,Adzuna,
Senior EDI Developer,Conduent,Remote USA,,2026-03-13,https://www.adzuna.com/land/ad/5663812536?se=xOpfEqEi8RG8c-q4lnAXVQ&utm_medium=api&utm_source=03049e54&v=0ADA76037B7B953FB978C37EFFD414707B776318,Healthcare EDI,Adzuna,
Senior EDIFECS Developer,Conduent,Remote USA,,2026-03-13,https://www.adzuna.com/land/ad/5663802769?se=xOpfEqEi8RG8c-q4lnAXVQ&utm_medium=api&utm_source=03049e54&v=1D0801D63206E3247AF147E992F77EA7420B55E6,EDI Developer,Adzuna,
Edifecs/EDI Tech Lead,CareSource Management Services,Remote USA,"$94,100 - $164,800",2026-02-26,https://www.adzuna.com/details/5646737098?utm_medium=api&utm_source=03049e54,Healthcare EDI,Adzuna,
AP EDI Specialist,Beth Israel Lahey Health,Remote USA,"$54,080 - $73,008",2026-03-14,https://www.adzuna.com/details/5665525442?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
Staff Quality Assurance Engineer-EDI & Integration,Milwaukee Tool,Remote USA,,2026-03-08,https://www.adzuna.com/details/5658582369?utm_medium=api&utm_source=03049e54,EDI Developer,Adzuna,
EDI Coordinator,PAM Transport,Remote USA,"$60,000 - $80,000",2026-03-04,https://www.adzuna.com/details/5653787869?utm_medium=api&utm_source=03049e54,EDI Coordinator,Adzuna,
Oracle EBS EDI Techno-Functional Consultant,DIVERSE LYNX LLC,Remote USA,"$131,040 - $147,680",2026-01-20,https://www.adzuna.com/details/5593307648?utm_medium=api&utm_source=03049e54,EDI General,Adzuna,
Senior EDI Technical Analyst (FTC Maternity Cover),Skechers,"UK, UK",,2026-02-20,https://www.adzuna.co.uk/jobs/details/5638165572?utm_medium=api&utm_source=03049e54,EDI Developer,Adzuna,
EDI Manager - Local Authority,Spencer Clarke Group,"London, UK, UK",,2026-03-11,https://www.adzuna.co.uk/jobs/details/5661793581?utm_medium=api&utm_source=03049e54,EDI General,Adzuna,
API & EDI Integrations Specialist,Hays Specialist Recruitment Limited,"Lincolnshire, East Midlands, UK","£50,000 - £60,000",2026-03-17,https://www.adzuna.co.uk/jobs/land/ad/5669656915?se=iLdLGKEi8RGKIcVPvHTU0Q&utm_medium=api&utm_source=03049e54&v=8015D3A1053B4E58F8A04E08316B074D2274C821,EDI Analyst,Adzuna,
EDI Onboarding Specialist,Huntress,"Bracknell, Berkshire, UK","£35,000 - £45,000",2026-03-13,https://www.adzuna.co.uk/jobs/details/5663107681?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
EDI Onboarding Specialist,Huntress - Bracknell,"Binfield, Bracknell, UK","£35,000 - £45,000",2026-03-12,https://www.adzuna.co.uk/jobs/land/ad/5662619575?se=iLdLGKEi8RGKIcVPvHTU0Q&utm_medium=api&utm_source=03049e54&v=326F2A5FF8C34A56452C149C265B3C124C624253,EDI Analyst,Adzuna,
"Senior Associate, EDI - London Stock Exchange Group",London Stock Exchange Group,"London, UK, UK",,2026-03-14,https://www.adzuna.co.uk/jobs/land/ad/5665353394?se=bh5TGaEi8RG8c-q4lnAXVQ&utm_medium=api&utm_source=03049e54&v=2E3A133B52DA10A146D82073E630415680017830,EDI General,Adzuna,
"Senior Associate, EDI",London Stock Exchange Group,"London, UK, UK",,2026-02-28,https://www.adzuna.co.uk/jobs/details/5648687022?utm_medium=api&utm_source=03049e54,EDI General,Adzuna,
Information Systems Analyst- EDI,Wajax,"Lachine, Montréal, Canada",,2026-03-08,https://www.adzuna.ca/details/5658744087?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
EDI Business Analyst,LBMX,"London, Middlesex, Canada","CA$60,000 - CA$70,000",2025-10-25,https://www.adzuna.ca/details/5463877107?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
SAP EDI & Integration Technical Lead,Riverside Natural Foods,"North York, Toronto, Canada","CA$110,000 - CA$125,000",2026-03-04,https://www.adzuna.ca/details/5653948578?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
SAP EDI & Integration Technical Lead,Riverside Natural Foods Ltd.,"North York, Toronto, Canada",,2026-03-04,https://www.adzuna.ca/details/5653438834?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
"Project Coordinator, EDI - 12 month Fixed Term Contract",Royal Australasian College of Physicians,"Sydney CBD, Sydney, Australia",,2026-03-17,https://www.adzuna.com.au/land/ad/5669114018?se=lEa9H6Ei8RGKIcVPvHTU0Q&utm_medium=api&utm_source=03049e54&v=4D14E2B2C6E52AB515FDB76843FFA77BD25D5CAF,EDI Coordinator,Adzuna,
EDI Developer / Integration Engineer (m/w/d) – Remote First,Duvenbeck Unternehmensgruppe,Remote Germany,,2026-03-17,https://www.adzuna.de/details/5669298512?utm_medium=api&utm_source=03049e54,EDI Developer,Adzuna,
EDI Developer (100% Homeoffice),workidentity GmbH,"Altona-Altstadt, Hamburg, Germany","€45,000 - €65,000",2026-03-10,https://www.adzuna.de/details/5660093526?utm_medium=api&utm_source=03049e54,EDI Developer,Adzuna,
EDI Developer (m/w/d),Hans Geis + Co KG,"Bad Neustadt an der Saale, Rhön-Grabfeld (Kreis), Germany",,2025-08-06,https://www.adzuna.de/details/5340553998?utm_medium=api&utm_source=03049e54,EDI Developer,Adzuna,
EDI Specialist / IT Administrator (m/w/d),FRANKEN BRUNNEN GmbH & Co. KG,"Neustadt an der Aisch, Neustadt an der Aisch-Bad Windsheim (Kreis), Germany","€15,000 - €20,000",2026-03-18,https://www.adzuna.de/details/5670330653?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
EDI Specialist (m/w/d),apm Personal-Leasing GmbH - Aschaffenburg,"Gelnhausen, Main-Kinzig-Kreis, Germany",,2026-03-10,https://www.adzuna.de/details/5660082629?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
EDI Specialist / Application Manager Automation (m/w/d),Hays AG,"Bamberg (Kreis), Bayern, Germany",,2026-03-06,https://www.adzuna.de/details/5655665116?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
Senior IT & Digital Process Specialist WMS & EDI (w/m/d),LGI,"Deutschland, Germany",,2026-03-01,https://www.adzuna.de/details/5650487742?utm_medium=api&utm_source=03049e54,EDI Analyst,Adzuna,
SAP Berater:in Electronic Data Interchange (EDI) in Heidelberg,NTT DATA Business Solutions Global Managed Services GmbH von bms,"Heidelberg, Baden-Württemberg, Germany",,2026-03-14,https://www.adzuna.de/details/5664495014?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
SAP Berater:in Electronic Data Interchange (EDI) in Pforzheim,NTT DATA Business Solutions Global Managed Services GmbH von bms,"Pforzheim, Baden-Württemberg, Germany",,2026-03-14,https://www.adzuna.de/details/5664495005?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
SAP Berater:in Electronic Data Interchange (EDI) in Göttingen,NTT DATA Business Solutions Global Managed Services GmbH von bms,"Göttingen, Göttingen (Kreis), Germany",,2026-03-14,https://www.adzuna.de/details/5664495007?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
SAP Berater:in Electronic Data Interchange (EDI) in Ismaning,NTT DATA Business Solutions Global Managed Services GmbH von bms,"Ismaning, München (Kreis), Germany",,2026-03-14,https://www.adzuna.de/details/5664495008?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
SAP Berater:in Electronic Data Interchange (EDI) in Berlin,NTT DATA Business Solutions Global Managed Services GmbH von bms,"Berlin, Deutschland, Germany",,2026-03-14,https://www.adzuna.de/details/5664495009?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
SAP Berater:in Electronic Data Interchange (EDI) in Bielefeld,NTT DATA Business Solutions Global Managed Services GmbH von bms,"Bielefeld, Nordrhein-Westfalen, Germany",,2026-03-14,https://www.adzuna.de/details/5664495011?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
SAP Berater:in Electronic Data Interchange (EDI) in Stuttgart,NTT DATA Business Solutions Global Managed Services GmbH von bms,"Stuttgart, Baden-Württemberg, Germany",,2026-03-14,https://www.adzuna.de/details/5664495016?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
SAP Berater:in Electronic Data Interchange (EDI) in Köln,NTT DATA Business Solutions Global Managed Services GmbH von bms,"Köln, Nordrhein-Westfalen, Germany",,2026-03-14,https://www.adzuna.de/details/5664495010?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
SAP Berater:in Electronic Data Interchange (EDI) in Dortmund,NTT DATA Business Solutions Global Managed Services GmbH von bms,"Dortmund, Nordrhein-Westfalen, Germany",,2026-03-14,https://www.adzuna.de/details/5664495012?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
SAP Berater:in Electronic Data Interchange (EDI) in Oldenburg,NTT DATA Business Solutions Global Managed Services GmbH von bms,"Oldenburg, Oldenburg (Kreis), Germany",,2026-03-14,https://www.adzuna.de/details/5664495006?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
SAP Berater:in Electronic Data Interchange (EDI) in Jena,NTT DATA Business Solutions Global Managed Services GmbH von bms,"Jena, Thüringen, Germany",,2026-03-14,https://www.adzuna.de/details/5664495015?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
SAP Berater:in Electronic Data Interchange (EDI) in Hamburg,NTT DATA Business Solutions Global Managed Services GmbH von bms,"Hamburg, Deutschland, Germany",,2026-03-14,https://www.adzuna.de/details/5664495013?utm_medium=api&utm_source=03049e54,SAP EDI,Adzuna,
"Electronic Data Interchange (EDI) Analyst, Revenue Cycle Management (RCM)",Guardant Health,Remote USA,,2026-03-17,https://www.tealhq.com/job/electronic-data-interchange-edi-analyst_7ea1ad80aa5d2703894fc042c2ece97409d50?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Healthcare EDI,Teal,
